song_id,title,artist,genre,collection_status,collection_method,image_width,image_height,image_format,size_bytes
RMVM_S_ea0274192f,Lạc Mất Nhau Rồi,"Đức Vinh, Đức Hiếu",BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,42417
RMVM_S_a102219279,Cô Bé Mắt Nai,Cảnh Hàn,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,41052
RMVM_S_013f09741f,Liên Khúc Trộm Nhìn Nhau,"Thái Trâm, Trương Huy",BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,33994
RMVM_S_aa2bf59378,Mưa Trong Mắt Em,Thu Phương,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_e1a43cb0b3,Xe Đạp Bốn Bánh,Bé Bào Ngư,CHILDREN,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_8ba424b284,Đời Còn Cô Đơn (Beat),Lê Công,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,45957
RMVM_S_4ef34f9c1b,Đêm Nghe Tiếng Mưa,Đan Kim,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,41524
RMVM_S_325b49258f,Anh Mê Vợ Bé,"Hà Thanh Tâm, Mỹ Hạnh",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_b1f2e21740,Chuyện Bên Bờ Ao,"Bé Bào Ngư, Như Ý",CHILDREN,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_534f7807f9,Cướp Vợ,Ngũ Cung,ROCK,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,45061
RMVM_S_b2d731df6c,Thầm Mang Ơn Anh,Trương Như Anh,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,42415
RMVM_S_2fb4346c32,Tỉnh Giấc,Ngọc Liên,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,37113
RMVM_S_4346b59fc4,Còn Thương Thì Không Để Em Khóc,Miu Lê,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,41439
RMVM_S_ff2e13db98,Vũ Nữ Thân Gầy,Bùi Tuyết Mai,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,33098
RMVM_S_96b63185d3,Nỗi Buồn Khắc Tên Em (Beat),David Tuấn Anh,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,40437
RMVM_S_dffaa972d8,Ngày Tình Nhân Không Em,Nguyễn Phi Hùng,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,49827
RMVM_S_e166a4c5d2,Đừng Xa Rời Nhau,Hoàng Lan,INSTRUMENTAL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,46002
RMVM_S_d6ba468377,Kẻ Thất Bại Trong Tình Yêu,Hy Nam,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,48723
RMVM_S_20a8b6c1f1,"Đừng Yêu Nữa, Em Mệt Rồi (Ngôn Phi Remix)",Diijam Studio,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,43846
RMVM_S_5361de113d,4 Mùa Thương Em (TikTok Speed Up Version),"Nguyễn Lê Hoàng Anh, Lập Nguyên, Nguyễn Hoàng Anh Official",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_46f5ddf51f,Chọn Cách Cô Đơn (Beat),Vân Du,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_eedb13bbfa,Em Chỉ Là Giấc Mộng,Hà Thanh Xuân,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,300,300,JPEG,5638
RMVM_S_baa7c878a1,Bài Valse Buồn Cho Em,Thu Minh,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,38816
RMVM_S_5dd6c9c607,Em Ra Đi Mùa Thu,Thu Phương,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_0221532bd3,Mặt Trời Nơi Mùa Đông,Khánh Phương,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,49075
RMVM_S_281c71ff87,Tình Nghèo,"Huỳnh Thanh Thảo, Lý Công",BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,39555
RMVM_S_10f2a072c4,Ngôi Sao Của Lòng Anh,Lý Hải,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,42326
RMVM_S_319395d65c,Đánh Rơi Yêu Thương,Minh Tài,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,36641
RMVM_S_78ab93b47f,Chiếc Sport Của Tôi,Lâm Trí Hải,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,46944
RMVM_S_f42e813a32,Nỗi Nhớ Cha,Ân Thiên Vỹ,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,35247
RMVM_S_84848475d4,Em Về Trong Giấc Mơ,Bằng Cường,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,42618
RMVM_S_cd9817e7b5,Kết Tóc Xe Duyên,Cao Minh,FOLK_TRADITIONAL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,37617
RMVM_S_4c424ec6d6,Trả Lại Anh (Beat),Việt Vũ,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_b5b00d22be,Cho Tôi Yêu Một Lần,Thế Sơn,INSTRUMENTAL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,38648
RMVM_S_9c89e775ef,Hẹn Ước Mùa Xuân,Thanh Long,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,42987
RMVM_S_c060894eed,Cứ Ngỡ Tình Phôi Phai (Beat),"Dương Hồng Loan, Huỳnh Nguyễn Công Bằng",POP_BALLAD,MISSING,NO_VALID_IMAGE_URL,0,0,NONE,0
RMVM_S_4d4a9ba695,Chuyến Bay Thao Thức / 失眠飞行,"Thẩm Dĩ Thành, tiết minh viện",RAP_HIPHOP,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_7651de8a7c,Bán Duyên (Beat),Chu Bin,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,46223
RMVM_S_8ad42f411f,Đường tình đôi ngả,"Dương Ngọc Vũ, Thanh Tuyền",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,45564
RMVM_S_9f84e54abd,Nếu Đời Không Có Em,"Thanh Ngân, Gia Tiến",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_0dc751e296,Cho Người Tình Nhỏ,Mai Trung Hậu,NHAC_TRINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,44075
RMVM_S_32f74f73db,Chắc Anh Có Yêu Em (Cover),"Anie Như Thùy, Lương Thăng",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,41690
RMVM_S_d20ae0b0c8,Mưa Của Ngày Xưa,Lê Phú,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_22092e48d3,Chiều Xuân Xa Nhà,"Võ Thanh Linh, Lê Khanh",BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,37212
RMVM_S_5533f9dc15,Chấp Nhận,Tứ Hải Giai Huynh Đệ,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_9244701544,Anh Sáu Về Quê (Cha Cha Cha),"Văn Hương, Thùy Dương, CT",BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,40955
RMVM_S_16f63f1e0e,Liên Khúc Tùy Hứng Lý Qua Cầu,Mỹ Nhung,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,37162
RMVM_S_24eb02b04c,Em Vẫn Mong Chờ Anh,"Như Phượng, Đức Quang",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,32808
RMVM_S_a8af2db132,Anh Không Dám Nói ver 1 (ST Music) (Short Version),Chu Bin,INSTRUMENTAL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,38745
RMVM_S_86ddf9f3d8,Bốn Mùa Yêu Thương,Thanh Ngân,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_63cd867d17,Không Bao Giờ Ngăn Cách,"Mai Diễm My, Văn Hương",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_f37bc48601,Chiều mưa qua sông,"Long Nhật, Vân Khánh",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,45577
RMVM_S_4affe636f9,Liên Khúc Trai Tài Gái Sắc,Cô Ú,CHILDREN,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,46145
RMVM_S_d29604f1e3,Không Thể Quên Em,Mỹ Nhung,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,46847
RMVM_S_4525478358,Bé Ti Ti,Minh Vy,POP_BALLAD,MISSING,NO_VALID_IMAGE_URL,0,0,NONE,0
RMVM_S_ca2ef03e6a,Con Gái Bây Giờ (Remix),"Vũ Duy Khánh, Dj Moon",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,38655
RMVM_S_3f222ca32b,"Lk Khóc Thầm, Chuyện Chúng Mình","Ngọc Khang, Đào Trọng Hải, Star Online",INSTRUMENTAL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,39643
RMVM_S_528356ec6e,Liên Khúc: Áo Em Chưa Mặc Một Lần; Vòng Nhẫn Cưới,"Quang Lê, Mai Thiên Vân",BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,41530
RMVM_S_45b094cc13,Âm Nh?c ?? Làm Cho Tình Yêu,Tháng Tám Berry,INSTRUMENTAL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,39387
RMVM_S_b5720df997,Hà Nội Ngày Trở Về,"Phương Phạm Guitarist, Minh Chuyên",BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,44080
RMVM_S_81cc7a78f2,Đẹp Mối Tình Quê,Huỳnh Thật,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,33361
RMVM_S_ecb2101752,Đã Từng Hạnh Phúc,Trương Khải Minh,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,39333
RMVM_S_d690d34589,Liên Khúc Khu Phố Ngày Xưa - Xa Người Mình Yêu,"Phi Nga, Star Online",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,41588
RMVM_S_dfe831f3ab,Gửi Người Yêu Dấu,Nhất Thiên Bảo,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,37311
RMVM_S_469f13c0fa,Trên Bãi Biển Một Chiều Xuân,Phú Tiến Phú,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,49866
RMVM_S_082e49dd9b,Cho Em Đi Tìm Bến Mới,Lâm Hùng,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_f3776491ac,LK Chán Nản & Nỗi Buồn,"Khánh Hà, Trần Thu Hà",BOLERO_TRUTINH,MISSING,NO_VALID_IMAGE_URL,0,0,NONE,0
RMVM_S_5789740573,Liên Khúc Tình Duyên Chẳng Nợ,Hoàng Lâm,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,47482
RMVM_S_b632284a6a,Sắc Màu Em Yêu,"Đỗ Tuyết Nhi, Bé Đinh Anh Khoa",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,51215
RMVM_S_7ab371192b,Chuyện Ba Mùa Mưa,"Anh Nguyễn, Mai Tiến Đạt",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_1722cbcc39,Đi Về Đâu Hỡi Em (Biểu diễn trực tiếp),Don Hồ,BOLERO_TRUTINH,MISSING,NO_VALID_IMAGE_URL,0,0,NONE,0
RMVM_S_6debdcbb1f,Liên Khúc Bolero Trữ Tình - Nếu Lỡ Ngày Mai Mình Xa Nhau,Hoàng Lâm,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,50189
RMVM_S_4c05893f9b,Để Nhớ Một Cuộc Tình,Tô Phương Trang,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,44717
RMVM_S_3c834b6742,"Dòng Sông Quê Anh, Dòng Sông Quê Em (From ""Những Ân Tình Xưa"")","NSND Thanh Hoa, NSƯT Đức Long",BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,38217
RMVM_S_0223dc9e10,Đêm Tâm Sự (Beat),Lâm Bảo Phi,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,41440
RMVM_S_1aade217f6,Hơn Thua Được Gì Đâu,Ngọc Ánh Sáng,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_125f8223f2,"LK Em Cứ Theo Người, Dấu Yêu Ơi",Khang Lê,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_94319aea62,Tình Chẳng Phai Mờ,Nguyễn Phi Hùng,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,42933
RMVM_S_fbe1978941,Buồn Như Kiếp Tằm,Trung Hậu,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,46460
RMVM_S_26bd162770,Em Đã Quên Tình Tôi,"Phương Huyền, Lê Minh MTV",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,34448
RMVM_S_d033383700,Ca Cảnh Chuyện Tình Lan Và Điệp (Liveshow Thương Quá Việt Nam),Nhiều nghệ sĩ,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,37398
RMVM_S_b7f3082532,Bên Em Mùa Xuân (Remix),"Mai Tiến Đạt, CT",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_de449ce9e5,Anh Không Hối Tiếc,"Rap Việt, Limitlxss, Vũ Thảo My",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_d877b913ad,LK Gõ cửa trái tim,"Chế Thanh, Vũ Hải",INSTRUMENTAL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,44710
RMVM_S_1f646931ac,LK Người Ngoài Phố - Nửa Đêm Ngoài Phố - Phố Đêm (Liveshow Thương Quá Việt Nam),Ân Thiên Vỹ,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,21018
RMVM_S_2119c880a2,Ai Thương Yêu Em,"Thanh Ngân, Minh Minh",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_fbf8ad493a,goc khuat cua tinh yeu,Music of Friends,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,36122
RMVM_S_85e7093bf9,Đêm Trao Kỷ Niệm Disco,Star Band,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,44716
RMVM_S_5c72bd6594,Hò Huế - Lý Mười Thương,Thu Hiền,FOLK_TRADITIONAL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,50850
RMVM_S_34ce7a759e,Tình Khúc Cho Em (Liveshow Thương Quá Việt Nam 3),Ngọc Ánh,INSTRUMENTAL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,20726
RMVM_S_56005cc6c3,Vậy Thì Ta Yêu Nhau Đi,Audicity,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,49835
RMVM_S_2a507cd21e,Tan Biến (Beat),"Trịnh Thiên Ân, NAhy",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,40550
RMVM_S_6fbc94393f,Em Là Tất Cả Trong Anh,Vu TC Nguyen,INSTRUMENTAL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,49707
RMVM_S_ca17080aef,Anh Mới Chính Là Người Em Yêu Remix - TD Remix Ft Minh TiếnL Remix,Minh TiếnL,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_57f76bbeed,Liên Khúc Mưa Nhớ Em - Tả Tơi Chữ Đời,Mỹ Nhung,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,52310
RMVM_S_693aa08fc7,Xuân Là Để Yêu,Thiều Bảo Trang,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,45292
RMVM_S_8f20f4506c,Chúng Ta Dừng Lại Ở Đây Thôi,Nguyễn Đình Vũ,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,40648
RMVM_S_918791447c,Duyên Quê (Liveshow Thương Quá Việt Nam 3),V.A,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,46578
RMVM_S_21328b4169,Anh Nào Có Tội,Vũ Duy Khánh,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_28e981d855,CHIỀU MƯA BUỒN,Nhiều nghệ sĩ,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,38997
RMVM_S_ce43205eb4,Sống Dai,B Ray,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,40622
RMVM_S_ebe0b20452,Bước Phiêu Bồng (Phần 1),Nhiều nghệ sĩ,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_a128a2db7d,Em Có Tiếc Nhớ Tuổi Thơ Qua,"Củ Cải, Vương Cây",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,42686
RMVM_S_042f501a62,Không Muốn Ai Thấy Anh Tổn Thương (Lofi Version),"Ngô Thành Dương, Nachi Khang",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,58420
RMVM_S_215c3d181a,Buồn Chỉ Một Mình Thôi,"Tika Tùng Anh, TinyQ",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_80b9ca8b2f,Chớ Để Nắng Tàn,Trọng Nghĩa,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,41393
RMVM_S_988a11b42f,"LK Gió Về Miền Xuôi, Hai Mùa Noel",Khang Lê,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_1884b5efcf,Ai Lên Xứ Hoa Đào,Võ Minh Lê,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_5ef376fe91,Điệp Khúc Mùa Xuân (Remix),Cao Tùng Huy,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,42198
RMVM_S_0369da2d87,Lữ Khách Qua Thời Gian (Remake),Nhật Hào,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,37992
RMVM_S_1dc14477a5,Nếu Anh Là Em,"Nguyễn Văn Chung, Thanh Goll",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,43828
RMVM_S_0d3846cd18,Bến Đò Chiều Vắng Em (Beat Tone Nam),Mỹ Nhung,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,43840
RMVM_S_441a29ee08,Lí Do Là Gì (Air Remix),Nguyễn Vĩ,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_32ad4d9505,"Astro Nuevo: I. Area, ""Astro nuevo"" - II. Recitado, ""A la esphera divina"" - III. Area, ""Pura rosa"" - IV. Recitativo, ""En obscuro velo"" - V. Area, ""Qué dichoso es"" - VI. Adagio, ""Ay! que me muero"" (Cantata al Santísimo con violines)",Julia Doyle,FOLK_TRADITIONAL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,48176
RMVM_S_6866c85846,Em Đưa Anh Về Trà Vinh,Thanh Nhường,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_07de612916,Đam Mê,Nguyễn Phú Quí,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,30211
RMVM_S_de9dbe9cdc,Cách Mình Xa Nhau,TRANG,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,36128
RMVM_S_64be8cc548,Bông Ô Môi,"Nhã Vân, Xuân Hòa",BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,35062
RMVM_S_37a052b99f,Bóng Đêm (Beat),La Hoàng Phúc,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,41112
RMVM_S_3355244cf2,Giá Như Anh Được Nghe Em Nói,Vincent,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,40942
RMVM_S_9ddf7e39a2,Sao Em Vô Tình,Chế Thanh,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,300,300,JPEG,5638
RMVM_S_2551c92f27,Bài Tình Ca Cho Anh,Minh Thu,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,1200,630,JPEG,60657
RMVM_S_e636827b51,Biển Nhớ,Mèo Ú Guitar,INSTRUMENTAL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,35944
RMVM_S_0df116a55c,Đừng Nói Xa Nhau,Huỳnh Thật,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,28884
